id,type,url,Fecha,Dia_Semana,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
A,BENZINERA,https://www.bonarea.com/benzinera/A,23-03-21,1,"CR L-313 KM 14,5",GUISSONA,25210,E.S. bon¿rea Guissona A,41.78194,1.27805,41∞ 46' 54'',1∞ 16' 40'',1,1,1,1,1,1,2.048,2.187,2.217,1
G002,BENZINERA,https://www.bonarea.com/benzinera/G002,23-03-21,1,POL. IND. EL SEGRE PARCELA 201,LLEIDA,25191,E.S. bon¿rea Lleida fabrica G002,41.615747,0.648654,41∞ 36' 56'',0∞ 38' 55'',,,,,,,2.05,1,1,1.35
G004,BENZINERA,https://www.bonarea.com/benzinera/G004,23-03-21,1,Crta. de Vic s/n,MOIA,8180,E.S. bon¿rea Moi‡ G004,41.8082127,2.0979496,41∞ 48' 29'',2∞ 05' 52'',,,,,,,2.047,2.187,1,1.35
G005,BENZINERA,https://www.bonarea.com/benzinera/G005,23-03-21,1,"CTRA. DE MONTBLANC C-240,KM 69",VERDU,25340,E.S. bon¿rea Verd˙ G005,41.61,1.13,41∞ 36' 36'',1∞ 07' 48'',1,,,,,,2.048,2.188,1,1
G006,BENZINERA,https://www.bonarea.com/benzinera/G006,23-03-21,1,Crta de Pallargues s/n,LES PALLARGUES,25212,E.S. bon¿rea Pallargues G006,41.759728,1.197853,41∞ 45' 35'',1∞ 11' 52'',,,,,,,2.048,1,1,1.35
G010,BENZINERA,https://www.bonarea.com/benzinera/G010,23-03-21,1,"A VERGE DEL CLAUSTRE,32",GUISSONA,25210,E.S. bon¿rea Closa G010,41.78818,1.28653,41∞ 47' 17'',1∞ 17' 11'',,,,,,,2.048,1,1,1.35
G011,BENZINERA,https://www.bonarea.com/benzinera/G011,23-03-21,1,Crta.de Satago s/n,BUJARALOZ,50177,E.S. bon¿rea Bujaraloz G011,41.47596,-0.15314,41∞ 28' 33'',-0∞ 09' 11'',1,1,,,,,2.054,2.193,1,1.35
G013,BENZINERA,https://www.bonarea.com/benzinera/G013,23-03-21,1,Cl/PONENT  S/N,PONTS,25740,E.S. bon¿rea Ponts G013,41.90676,1.19335,41∞ 54' 24'',1∞ 11' 36'',1,,,,,1,2.048,2.188,1,1.035
G014,BENZINERA,https://www.bonarea.com/benzinera/G014,23-03-21,1,Pl.ind. El Segre parc 202,LLEIDA,25191,E.S. bon¿rea Lleida G014,41.615767,0.649495,41∞ 36' 56'',0∞ 38' 58'',1,1,,,,1,2.05,2.19,1,1
G015,BENZINERA,https://www.bonarea.com/benzinera/G015,23-03-21,1,Pol.Ind.Navesma / Avda.Generalitat 10,AGRAMUNT,25310,E.S. bon¿rea Agramunt G015,41.782403,1.104783,41∞ 46' 56'',1∞ 06' 17'',1,1,,,,1,2.048,2.188,1,1.35
G016,BENZINERA,https://www.bonarea.com/benzinera/G016,23-03-21,1,Pol.Ind.Les Garriges Parcela 24,CALAF,8280,E.S. bon¿rea Calaf G016,41.73321,1.52683,41∞ 43' 59'',1∞ 31' 36'',1,1,,,,1,2.047,2.186,1,1.35
G017,BENZINERA,https://www.bonarea.com/benzinera/G017,23-03-21,1,"Ctra N240 Km,71","BORGES BLANQUES, LES",25400,E.S. bon¿rea Borges G017,41.53298,0.84249,41∞ 31' 58'',0∞ 50' 32'',,1,,,,,2.05,2.189,1,1.35
G018,BENZINERA,https://www.bonarea.com/benzinera/G018,23-03-21,1,Pol.Ind.Pont Cremat Parcela 2,ARBUCIES,17401,E.S. bon¿rea Arb˙cies G018,41.81048,2.531533,41∞ 48' 37'',2∞ 31' 53'',1,,,,,1,2.048,2.187,1,1
G019,BENZINERA,https://www.bonarea.com/benzinera/G019,23-03-21,1,Carretera LV-3003,TORA,25750,E.S. bon¿rea Tor‡ G019,41.807665,1.403707,41∞ 48' 27'',1∞ 24' 13'',1,1,,,,1,2.047,2.187,1,1.35
G020,BENZINERA,https://www.bonarea.com/benzinera/G020,23-03-21,1,"Ctra C14 KM 82,6",PALAU DE NOGUERA,25633,E.S. bon¿rea Palau de Noguera G020,42.147299,0.89343,42∞ 08' 50'',0∞ 53' 36'',1,1,,,,1,2.051,2.191,1,1
G021,BENZINERA,https://www.bonarea.com/benzinera/G021,23-03-21,1,"Av Urgell, S/N",CERVERA,25200,E.S. bon¿rea Cervera G021,41.67326,1.263621,41∞ 40' 23'',1∞ 15' 49'',1,1,,,,1,2.047,2.187,1,1.35
G022,BENZINERA,https://www.bonarea.com/benzinera/G022,23-03-21,1,"POLIGON INDUSTRIAL CAMPLLONG, C/ MISTRAL, 19",BALAGUER,25600,E.S. bon¿rea Balaguer G022,41.775252,0.818789,41∞ 46' 30'',0∞ 49' 07'',1,1,,,,,2.049,2000,1,1.35
G024,BENZINERA,https://www.bonarea.com/benzinera/G024,23-03-21,1,"Crta L800 Km 1,85",ALCARRAS,25180,E.S. bon¿rea Alcarr‡s G024,41.57762,0.51669,41∞ 34' 39'',0∞ 31' 00'',1,1,,1,,,2.05,2.19,1,1
G025,BENZINERA,https://www.bonarea.com/benzinera/G025,23-03-21,1,"Pg Industrial les Eres, Parcela 7","ESPLUGA DE FRANCOLI, L'",43440,E.S. bon¿rea Espluga de FrancolÌ G025,41.40298,1.10438,41∞ 24' 10'',1∞ 06' 15'',1,1,,1,,,2.048,2.188,1,1
